id,subdivision,month,month_num,rainfall_mm,slope_deg,soil_index
89,Padhar,May,5,100.8,42.32,0.6873
90,Padhar,Jun,6,184.8,48.3,0.8295
91,Padhar,Jul,7,327.6,54.28,0.9638
92,Padhar,Aug,8,310.8,55.2,0.948
93,Padhar,Sep,9,184.8,50.6,0.8532
94,Padhar,Oct,10,109.2,43.7,0.7268
95,Padhar,Nov,11,67.2,39.1,0.6478
96,Padhar,Dec,12,67.2,36.8,0.6004
97,Thunag,Jan,1,53.7,44.0,0.63
98,Thunag,Feb,2,80.5,45.1,0.6468
99,Thunag,Mar,3,116.4,46.75,0.672
100,Thunag,Apr,4,98.5,48.4,0.6972
101,Thunag,May,5,107.4,50.6,0.7308
102,Thunag,Jun,6,196.9,57.75,0.882
103,Thunag,Jul,7,349.1,64.9,1.0
104,Thunag,Aug,8,331.1,66.0,1.0
105,Thunag,Sep,9,196.9,60.5,0.9072
106,Thunag,Oct,10,116.4,52.25,0.7728
107,Thunag,Nov,11,71.6,46.75,0.6888
108,Thunag,Dec,12,71.6,44.0,0.6384
109,Nihri,Jan,1,45.3,32.0,0.5775
110,Nihri,Feb,2,68.0,32.8,0.5929
111,Nihri,Mar,3,98.2,34.0,0.616
112,Nihri,Apr,4,83.0,35.2,0.6391
113,Nihri,May,5,90.6,36.8,0.6699
114,Nihri,Jun,6,166.1,42.0,0.8085
115,Nihri,Jul,7,294.4,47.2,0.9394
116,Nihri,Aug,8,279.4,48.0,0.924
117,Nihri,Sep,9,166.1,44.0,0.8316
118,Nihri,Oct,10,98.2,38.0,0.7084
119,Nihri,Nov,11,60.4,34.0,0.6314
120,Nihri,Dec,12,60.4,32.0,0.5852
121,Dharampur,Jan,1,41.7,24.0,0.51
122,Dharampur,Feb,2,62.5,24.6,0.5236
123,Dharampur,Mar,3,90.4,25.5,0.544
124,Dharampur,Apr,4,76.5,26.4,0.5644
125,Dharampur,May,5,83.4,27.6,0.5916
126,Dharampur,Jun,6,152.9,31.5,0.714
127,Dharampur,Jul,7,271.1,35.4,0.8296
128,Dharampur,Aug,8,257.1,36.0,0.816
129,Dharampur,Sep,9,152.9,33.0,0.7344
130,Dharampur,Oct,10,90.4,28.5,0.6256
131,Dharampur,Nov,11,55.6,25.5,0.5576
132,Dharampur,Dec,12,55.6,24.0,0.5168
133,Baggi,Jan,1,49.8,40.0,0.6075
134,Baggi,Feb,2,74.7,41.0,0.6237
135,Baggi,Mar,3,107.9,42.5,0.648
136,Baggi,Apr,4,91.3,44.0,0.6723
137,Baggi,May,5,99.6,46.0,0.7047
138,Baggi,Jun,6,182.6,52.5,0.8505
139,Baggi,Jul,7,323.7,59.0,0.9882
140,Baggi,Aug,8,307.1,60.0,0.972
141,Baggi,Sep,9,182.6,55.0,0.8748
142,Baggi,Oct,10,107.9,47.5,0.7452
143,Baggi,Nov,11,66.4,42.5,0.6642
144,Baggi,Dec,12,66.4,40.0,0.6156
145,Gohar,Jan,1,51.0,42.4,0.615
146,Gohar,Feb,2,76.5,43.46,0.6314
147,Gohar,Mar,3,110.5,45.05,0.656
148,Gohar,Apr,4,93.5,46.64,0.6806
149,Gohar,May,5,102.0,48.76,0.7134
150,Gohar,Jun,6,187.0,55.65,0.861
151,Gohar,Jul,7,331.5,62.54,1.0
152,Gohar,Aug,8,314.5,63.6,0.984
153,Gohar,Sep,9,187.0,58.3,0.8856
154,Gohar,Oct,10,110.5,50.35,0.7544
155,Gohar,Nov,11,68.0,45.05,0.6724
156,Gohar,Dec,12,68.0,42.4,0.6232
157,Seraj,Jan,1,47.4,37.6,0.5925
158,Seraj,Feb,2,71.1,38.54,0.6083
159,Seraj,Mar,3,102.7,39.95,0.632
160,Seraj,Apr,4,86.9,41.36,0.6557
161,Seraj,May,5,94.8,43.24,0.6873
162,Seraj,Jun,6,173.8,49.35,0.8295
163,Seraj,Jul,7,308.1,55.46,0.9638
164,Seraj,Aug,8,292.3,56.4,0.948
165,Seraj,Sep,9,173.8,51.7,0.8532
166,Seraj,Oct,10,102.7,44.65,0.7268
167,Seraj,Nov,11,63.2,39.95,0.6478
168,Seraj,Dec,12,63.2,37.6,0.6004
169,Pandoh,Jan,1,43.2,33.6,0.5625
170,Pandoh,Feb,2,64.8,34.44,0.5775
171,Pandoh,Mar,3,93.6,35.7,0.6
172,Pandoh,Apr,4,79.2,36.96,0.6225
173,Pandoh,May,5,86.4,38.64,0.6525
174,Pandoh,Jun,6,158.4,44.1,0.7875
175,Pandoh,Jul,7,280.8,49.56,0.915
176,Pandoh,Aug,8,266.4,50.4,0.9
177,Pandoh,Sep,9,158.4,46.2,0.81
178,Pandoh,Oct,10,93.6,39.9,0.69
179,Pandoh,Nov,11,57.6,35.7,0.615
180,Pandoh,Dec,12,57.6,33.6,0.57
